compound_id,hetnet_rank,hetnet_best_metapath,hetnet_best_target,hetnet_dwpc,hetnet_p_value_bonferroni,significant,rank,best_record_score,total_potency,max_evidence,hits_eef1a,best_protein,in_resko_ranking,in_hetnet_ranking,in_both
CHEMBL3923966,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3928361,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3936187,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3937369,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3944589,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3946252,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3947240,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3953713,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3955977,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3957716,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3964729,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3967087,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3969412,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3972065,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3973213,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3975567,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3983798,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3989868,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL3989914,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL3990456,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL3991927,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL3991929,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
